"","week_beginning","areauri","region","deaths"
"1",2020-03-16,"S12000034","Aberdeenshire",1
"2",2020-03-16,"S12000045","East Dunbartonshire",0
"3",2020-03-16,"S08000020","Grampian",2
"4",2020-03-16,"S12000005","Clackmannanshire",0
"5",2020-03-16,"S08000019","Forth Valley",0
"6",2020-03-16,"S12000021","North Ayrshire",1
"7",2020-03-16,"S12000006","Dumfries and Galloway",0
"8",2020-03-16,"S08000031","Greater Glasgow and Clyde",3
"9",2020-03-16,"S08000022","Highland",1
"10",2020-03-16,"S12000013","Na h-Eileanan Siar",0
"11",2020-03-16,"S12000028","South Ayrshire",0
"12",2020-03-16,"S12000018","Inverclyde",0
"13",2020-03-16,"S12000017","Highland",1
"14",2020-03-16,"S08000032","Lanarkshire",0
"15",2020-03-16,"S12000026","Scottish Borders",0
"16",2020-03-16,"S12000008","East Ayrshire",0
"17",2020-03-16,"S12000027","Shetland Islands",0
"18",2020-03-16,"S08000028","Western Isles",0
"19",2020-03-16,"S12000047","Fife",2
"20",2020-03-16,"S08000025","Orkney",0
"21",2020-03-16,"S12000023","Orkney Islands",0
"22",2020-03-16,"S12000033","Aberdeen City",1
"23",2020-03-16,"S12000019","Midlothian",0
"24",2020-03-16,"S12000038","Renfrewshire",2
"25",2020-03-16,"S08000024","Lothian",2
"26",2020-03-16,"S12000035","Argyll and Bute",0
"27",2020-03-16,"S08000017","Dumfries and Galloway",0
"28",2020-03-16,"S08000015","Ayrshire and Arran",1
"29",2020-03-16,"S12000041","Angus",0
"30",2020-03-16,"S08000029","Fife",2
"31",2020-03-16,"S12000010","East Lothian",0
"32",2020-03-16,"S12000040","West Lothian",1
"33",2020-03-16,"S12000030","Stirling",0
"34",2020-03-16,"S12000011","East Renfrewshire",0
"35",2020-03-16,"S08000026","Shetland",0
"36",2020-03-16,"S08000016","Borders",0
"37",2020-03-16,"S12000048","Perth and Kinross",0
"38",2020-03-16,"S12000042","Dundee City",0
"39",2020-03-16,"S12000050","North Lanarkshire",0
"40",2020-03-16,"S08000030","Tayside",0
"41",2020-03-16,"S12000014","Falkirk",0
"42",2020-03-16,"S12000036","City of Edinburgh",1
"43",2020-03-16,"S12000020","Moray",0
"44",2020-03-16,"S92000003","Scotland",11
"45",2020-03-16,"S12000029","South Lanarkshire",0
"46",2020-03-16,"S12000039","West Dunbartonshire",0
"47",2020-03-16,"S12000049","Glasgow City",1
"48",2020-03-23,"S12000039","West Dunbartonshire",2
"49",2020-03-23,"S12000035","Argyll and Bute",5
"50",2020-03-23,"S08000016","Borders",3
"51",2020-03-23,"S08000026","Shetland",0
"52",2020-03-23,"S12000026","Scottish Borders",3
"53",2020-03-23,"S12000023","Orkney Islands",0
"54",2020-03-23,"S08000017","Dumfries and Galloway",0
"55",2020-03-23,"S12000036","City of Edinburgh",3
"56",2020-03-23,"S08000024","Lothian",7
"57",2020-03-23,"S08000020","Grampian",3
"58",2020-03-23,"S12000041","Angus",1
"59",2020-03-23,"S12000027","Shetland Islands",0
"60",2020-03-23,"S12000040","West Lothian",2
"61",2020-03-23,"S12000042","Dundee City",0
"62",2020-03-23,"S08000025","Orkney",0
"63",2020-03-23,"S12000011","East Renfrewshire",1
"64",2020-03-23,"S12000028","South Ayrshire",1
"65",2020-03-23,"S12000014","Falkirk",6
"66",2020-03-23,"S12000005","Clackmannanshire",1
"67",2020-03-23,"S08000015","Ayrshire and Arran",9
"68",2020-03-23,"S12000008","East Ayrshire",3
"69",2020-03-23,"S08000019","Forth Valley",7
"70",2020-03-23,"S12000045","East Dunbartonshire",0
"71",2020-03-23,"S12000019","Midlothian",2
"72",2020-03-23,"S12000010","East Lothian",0
"73",2020-03-23,"S12000018","Inverclyde",3
"74",2020-03-23,"S12000050","North Lanarkshire",5
"75",2020-03-23,"S08000022","Highland",5
"76",2020-03-23,"S12000049","Glasgow City",7
"77",2020-03-23,"S12000033","Aberdeen City",0
"78",2020-03-23,"S08000030","Tayside",3
"79",2020-03-23,"S08000029","Fife",4
"80",2020-03-23,"S12000006","Dumfries and Galloway",0
"81",2020-03-23,"S92000003","Scotland",62
"82",2020-03-23,"S12000021","North Ayrshire",5
"83",2020-03-23,"S12000038","Renfrewshire",0
"84",2020-03-23,"S12000030","Stirling",0
"85",2020-03-23,"S12000020","Moray",2
"86",2020-03-23,"S12000048","Perth and Kinross",2
"87",2020-03-23,"S12000029","South Lanarkshire",3
"88",2020-03-23,"S12000013","Na h-Eileanan Siar",0
"89",2020-03-23,"S08000031","Greater Glasgow and Clyde",13
"90",2020-03-23,"S12000017","Highland",0
"91",2020-03-23,"S12000047","Fife",4
"92",2020-03-23,"S08000028","Western Isles",0
"93",2020-03-23,"S08000032","Lanarkshire",8
"94",2020-03-23,"S12000034","Aberdeenshire",1
"95",2020-03-30,"S12000047","Fife",9
"96",2020-03-30,"S12000030","Stirling",11
"97",2020-03-30,"S08000015","Ayrshire and Arran",17
"98",2020-03-30,"S08000024","Lothian",32
"99",2020-03-30,"S12000042","Dundee City",8
"100",2020-03-30,"S08000026","Shetland",1
"101",2020-03-30,"S12000013","Na h-Eileanan Siar",0
"102",2020-03-30,"S08000028","Western Isles",0
"103",2020-03-30,"S12000039","West Dunbartonshire",16
"104",2020-03-30,"S12000045","East Dunbartonshire",7
"105",2020-03-30,"S12000006","Dumfries and Galloway",12
"106",2020-03-30,"S12000017","Highland",7
"107",2020-03-30,"S12000010","East Lothian",2
"108",2020-03-30,"S12000040","West Lothian",8
"109",2020-03-30,"S12000041","Angus",2
"110",2020-03-30,"S08000016","Borders",13
"111",2020-03-30,"S12000049","Glasgow City",46
"112",2020-03-30,"S08000025","Orkney",0
"113",2020-03-30,"S08000030","Tayside",14
"114",2020-03-30,"S12000008","East Ayrshire",3
"115",2020-03-30,"S12000020","Moray",0
"116",2020-03-30,"S12000048","Perth and Kinross",4
"117",2020-03-30,"S12000005","Clackmannanshire",3
"118",2020-03-30,"S12000050","North Lanarkshire",28
"119",2020-03-30,"S08000029","Fife",9
"120",2020-03-30,"S92000003","Scotland",282
"121",2020-03-30,"S12000019","Midlothian",5
"122",2020-03-30,"S12000026","Scottish Borders",13
"123",2020-03-30,"S12000028","South Ayrshire",4
"124",2020-03-30,"S08000019","Forth Valley",20
"125",2020-03-30,"S08000022","Highland",11
"126",2020-03-30,"S12000035","Argyll and Bute",4
"127",2020-03-30,"S12000033","Aberdeen City",2
"128",2020-03-30,"S12000021","North Ayrshire",10
"129",2020-03-30,"S12000038","Renfrewshire",15
"130",2020-03-30,"S08000020","Grampian",6
"131",2020-03-30,"S08000032","Lanarkshire",40
"132",2020-03-30,"S12000034","Aberdeenshire",4
"133",2020-03-30,"S08000017","Dumfries and Galloway",12
"134",2020-03-30,"S12000023","Orkney Islands",0
"135",2020-03-30,"S08000031","Greater Glasgow and Clyde",107
"136",2020-03-30,"S12000029","South Lanarkshire",12
"137",2020-03-30,"S12000018","Inverclyde",18
"138",2020-03-30,"S12000036","City of Edinburgh",17
"139",2020-03-30,"S12000014","Falkirk",6
"140",2020-03-30,"S12000011","East Renfrewshire",5
"141",2020-03-30,"S12000027","Shetland Islands",1
"142",2020-04-06,"S12000008","East Ayrshire",10
"143",2020-04-06,"S12000049","Glasgow City",98
"144",2020-04-06,"S08000025","Orkney",2
"145",2020-04-06,"S08000017","Dumfries and Galloway",9
"146",2020-04-06,"S12000019","Midlothian",11
"147",2020-04-06,"S12000042","Dundee City",20
"148",2020-04-06,"S08000024","Lothian",108
"149",2020-04-06,"S12000047","Fife",31
"150",2020-04-06,"S08000028","Western Isles",0
"151",2020-04-06,"S12000027","Shetland Islands",4
"152",2020-04-06,"S12000045","East Dunbartonshire",9
"153",2020-04-06,"S08000032","Lanarkshire",90
"154",2020-04-06,"S12000033","Aberdeen City",12
"155",2020-04-06,"S12000005","Clackmannanshire",3
"156",2020-04-06,"S12000026","Scottish Borders",15
"157",2020-04-06,"S12000021","North Ayrshire",15
"158",2020-04-06,"S12000030","Stirling",12
"159",2020-04-06,"S08000029","Fife",31
"160",2020-04-06,"S12000013","Na h-Eileanan Siar",0
"161",2020-04-06,"S92000003","Scotland",609
"162",2020-04-06,"S12000029","South Lanarkshire",44
"163",2020-04-06,"S08000015","Ayrshire and Arran",40
"164",2020-04-06,"S12000040","West Lothian",15
"165",2020-04-06,"S12000028","South Ayrshire",15
"166",2020-04-06,"S12000039","West Dunbartonshire",17
